question,distractor3,distractor1,distractor2,correct_answer,support
What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary pattern,complex progression,pattern progression,primary succession,"The pioneer species is soon replaced by other populations. Abiotic factors such as soil quality, water, and climate will determine the species that continue the process of succession. Mosses and grasses will be able to grow in the newly created soil. During early succession, plant species like grasses that grow and reproduce quickly will take over the landscape. Over time, these plants improve the soil and a few shrubs can begin to grow. Slowly, the shrubs are replaced by small trees. Small trees then are succeeded by larger trees. Since trees are more successful at competing for resources than shrubs and grasses, a forest may be the end result of primary succession."
"Fungi may form mutualistic relationships with plants, algae, cyanobacteria, and what?",eggs,plants,farmers,animals,
Which cycle tracks the flow of nitrogen through an ecosystem?,life cycle,nitrogen reaction,water cycle,nitrogen cycle,Mariana Ruiz Villarreal (LadyofHats) for CK-12 Foundation. The nitrogen cycle tracks the flow of nitrogen through an ecosystem . CC BY-NC 3.0.
What consequence of a tornado is responsible for most injuries and deaths?,falling debris,catching debris,touring debris,flying debris,"A tornado only strikes a small area. But it can destroy everything in its path. Most injuries and deaths from tornadoes are caused by flying debris ( Figure below ). In the United States, an average of 90 people are killed by tornadoes each year. The most violent two percent of tornadoes account for 70% of the deaths by tornadoes."
What are the only truly innate behaviors in humans called?,feats,automatic movements,flinches,reflexes,"All animals have innate behaviors, even human beings. Can you think of human behaviors that do not have to be learned? Chances are, you will have a hard time thinking of any. The only truly innate behaviors in humans are called reflex behaviors . They occur mainly in babies. Like innate behaviors in other animals, reflex behaviors in human babies may help them survive."
What happens to the density of air as the altitude decreases?,increases,multiplies,remains the same,decreases,"The pressure of the earth’s atmosphere, as with any fluid, increases with the height of the column of air. In the case of earth’s atmosphere, there are some complications. The density of the air is not uniform but decreases with altitude. Additionally there is no distinct top surface from which height can be measured. We can, however, calculate the approximate difference in pressure between two altitudes using the equation . The average pressure of the atmosphere at sea level is 1.013 × 10 5 Pa. This pressure is often expressed as 101.3 kPa."
How do some animals change their depth?,spontaneous mutations,mass migration,metamorphosis,by changing their density,"Some animals change their depth by changing their density. Recall that things that are denser than their surroundings sink while those that are less dense than their surroundings float. Most fish have a swim bladder, a special sac that is filled with gases from their blood. When the fish's swim bladder is full, it is less dense than the surrounding water and the fish will rise towards the surface. Another property of water that affects lakes is the unique changes in density during phase changes. The density of most substances increases when a liquid becomes a solid. This is not so for water: Solid water is actually less dense than liquid water. It is for this reason that ice floats. Can you imagine a world where ice sank? Lakes would freeze from the bottom up, killing many fish. Frozen water in the Polar Regions would sink and change the ocean levels. The fact that ice floats is essential for the survival of many aquatic ecosystems and ultimately life on Earth. Besides the changes in density, there are other ways in which the phase changes of water have significant impacts. When water is trapped in small cracks in rocks, it will expand as it freezes and break up the rock causing weathering. The transpiration (evaporation) of water from a good-sized tree can move 1800 liters of water out of the ground in a single day. Sublimation, the phase change between solid and gas, is responsible for the formation of frost. As you can see, water has many special properties that make its role in nature unique. It is considered the ""universal solvent” because its bipolar molecule enables it to dissolve a wide variety of substances. Water is the only substance that occurs naturally in all three states; solid, liquid, and gas. Water is truly a miracle for life!."
What phenomenon is crowding out other species and making all the other causes of extinction worse?,migration,climate change,human suburbanization,human overpopulation,"Human overpopulation, which is crowding out other species. It also makes all the other causes of extinction worse."
Dessication is an extreme and usually fatal form of what in animals?,starvation,diarrhea,depletion,dehydration,
Internal and external forms of what life process occur as simple diffusion due to a partial pressure gradient?,photosynthesis,reproduction,metabolism,respiration,"Internal Respiration Internal respiration is gas exchange that occurs at the level of body tissues (Figure 22.23). Similar to external respiration, internal respiration also occurs as simple diffusion due to a partial pressure gradient. However, the partial pressure gradients are opposite of those present at the respiratory membrane. The partial pressure of oxygen in tissues is low, about 40 mm Hg, because oxygen is continuously used for cellular respiration. In contrast, the partial pressure of oxygen in the blood is about 100 mm Hg. This creates a pressure gradient that causes oxygen to dissociate from hemoglobin, diffuse out of the blood, cross the interstitial space, and enter the tissue. Hemoglobin that has little oxygen bound to it loses much of its brightness, so that blood returning to the heart is more burgundy in color. Considering that cellular respiration continuously produces carbon dioxide, the partial pressure of carbon dioxide is lower in the blood than it is in the tissue, causing carbon dioxide to diffuse out of the tissue, cross the interstitial fluid, and enter the blood. It is then carried back to the lungs either bound to hemoglobin, dissolved in plasma, or in a converted form. By the time blood returns to the heart, the partial pressure of oxygen has returned to about 40 mm Hg, and the partial pressure."
The fossil record shows that this type of event is followed by the evolution of new species to fill the habitats where old species lived?,formation extinction,minor extinction,moderate extinction,mass extinction,"After each mass extinction, new species evolve to fill the habitats where old species lived. This is well documented in the fossil record."
"Soluble minerals and clays accumulate in what soil layer, allowing it to hold more water?",topsoil,silt,subsurface,subsoil,"Below the topsoil is the “B” horizon. This is also called the subsoil . Soluble minerals and clays accumulate in the subsoil. Because it has less organic material, this layer is lighter brown in color than topsoil. It also holds more water due to the presence of iron and clay. There is less organic material in this layer."
What is the common word for potential difference in a circuit?,frequency,watt,velocity,voltage,"Conceptual Questions 19.1 Electric Potential Energy: Potential Difference 1. Voltage is the common word for potential difference. Which term is more descriptive, voltage or potential difference? 2. If the voltage between two points is zero, can a test charge be moved between them with zero net work being done? Can this necessarily be done without exerting a force? Explain. What is the relationship between voltage and energy? More precisely, what is the relationship between potential difference and electric potential energy? 4. Voltages are always measured between two points. Why? 5. How are units of volts and electron volts related? How do they differ?."
How many chambers does the stomach of a crocodile have?,three,six,ten,two,"The crocodilian digestive system is highly adapted to their lifestyle. Crocodilians are known to swallow stones, known as gastroliths , which help digest their prey. The crocodilian stomach is divided into two chambers. The first is powerful and muscular. The other stomach is the most acidic digestive system of any animal. It can digest mostly everything from their prey, including bones, feathers, and horns!."
"When populations get close to the carrying capacity, what happens to growth?",spikes,halts,dies,slows,Populations usually grow bigger when they have what they need. How fast they grow depends on birth and death rates. They grow more slowly as they get close to the carrying capacity. This is the biggest population the environment can support.
"Although air can transfer heat rapidly by convection, it is a poor conductor and thus a good what?",transporter,magnet,absorber,insulator,"Although air can transfer heat rapidly by convection, it is a poor conductor and thus a good insulator. The amount of available space for airflow determines whether air acts as an insulator or conductor. The space between the inside and outside walls of a house, for example, is about 9 cm (3.5 in) —large enough for convection to work effectively. The addition of wall insulation prevents airflow, so heat loss (or gain) is decreased. Similarly, the gap between the two panes of a double-paned window is about 1 cm, which prevents convection and takes advantage of air’s low conductivity to prevent greater loss. Fur, fiber, and fiberglass also take advantage of the low conductivity of air by trapping it in spaces too small to support convection, as shown in the figure. Fur and feathers are lightweight and thus ideal for the protection of animals."
"Most plants grow continuously, except for what periods?",winter,abnormal,mutant,dormant,
What man-made devices in space are used to observe the earth's surface?,sensors,crystals,telescopes,satellites,"Observations can happen on many scales. You can use a microscope to observe tiny things. You can use a telescope to observe distant things in space. To learn about the effects of climate change, you could observe Earth's surface. How would you make observations of Earth's surface? You could do this from the land surface or from space. Many important observations are made by orbiting satellites. These satellites have a bird's eye view of how the planet is changing ( Figure below )."
"Carboxylic acids are weak acids, meaning they are not 100% ionized in what?",liquid,air,ethanol,water,"Carboxylic acids are weak acids (see the chapter on acids and bases), meaning they are not 100% ionized in water. Generally only about 1% of the molecules of a carboxylic acid dissolved in water are ionized at any given time. The remaining molecules are undissociated in solution. We prepare carboxylic acids by the oxidation of aldehydes or alcohols whose –OH functional group is located on the carbon atom at the end of the chain of carbon atoms in the alcohol:."
An endocrine disease usually involves the secretion of too much or not enough of what?,sweat,enzyme,metabolite,hormone,"Diseases of the endocrine system are relatively common. An endocrine disease usually involves the secretion of too much or not enough hormone. When too much hormone is secreted, it is called hypersecretion. When not enough hormone is secreted, it is called hyposecretion."
"In experiments with garden peas, austrian monk gregor mendel described the basic patterns of what?",color,behavior,preference,inheritance,"For thousands of years, humans have understood that characteristics such as eye color, hair color, or even flower color are passed from one generation to the next. The passing of characteristics from parent to offspring is called heredity . Humans have long been interested in understanding heredity. Many hereditary mechanisms were developed by scholars but were not properly tested or quantified. The scientific study of genetics did not begin until the late 19 th century. In experiments with garden peas, Austrian monk Gregor Mendel described the basic patterns of inheritance. Keep in mind that while we know about DNA and its role as the genetic material, Mendel did not know of the existence of DNA. Nor did he understand the concept of the chromosome or the process of meiosis, and yet, he was still able to correctly describe basic inheritance patterns."
Nutrition and diet affect your metabolism. more energy is required to break down fats and proteins than this?,minerals,vitamins,electrolytes,carbohydrates,"24.7 Nutrition and Diet Nutrition and diet affect your metabolism. More energy is required to break down fats and proteins than carbohydrates; however, all excess calories that are ingested will be stored as fat in the body. On average, a person requires 1500 to 2000 calories for normal daily activity, although routine exercise will increase that amount. If you ingest more than that, the remainder is stored for later use. Conversely, if you ingest less than that, the energy stores in your body will be depleted. Both the quantity and quality of the food you eat affect your metabolism and can affect your overall health. Eating too much or too little can result in serious medical conditions, including cardiovascular disease, cancer, and diabetes. Vitamins and minerals are essential parts of the diet. They are needed for the proper function of metabolic pathways in the body. Vitamins are not stored in the body, so they must be obtained from the diet or synthesized from precursors available in the diet. Minerals are also obtained from the diet, but they are also stored, primarily in skeletal tissues."
What are unsaturated hydrocarbons with at least one double bond between carbon atoms called?,peptides,amines,enzymes,alkenes,Alkenes are unsaturated hydrocarbons with at least one double bond between carbon atoms.
What is the opposite of melting?,compression,evaporation,liquidation,freezing,"All of the changes of state that occur between solid, liquid and gas are summarized in the diagram in the figure below. Freezing is the opposite of melting and both represent the equilibrium between the solid and liquid states. Evaporation occurs when a liquid turns to a gas. Condensation is the opposite of vaporization and both represent the equilibrium between the liquid and gas states. Deposition is the opposite of sublimation and both represent the equilibrium between the solid and gas states."
"A unique characteristic of mammals is the ability to chew, this happens by the temporalis and the masseter allowing what?",Grinding,Up and down,Bakward and forward,side-to-side movement,"The adductor muscle that closes the jaw is composed of two muscles in mammals: the temporalis and the masseter. These allow side-to-side movement of the jaw, making chewing possible, which is unique to mammals. Most mammals have heterodont teeth, meaning that they have different types and shapes of teeth rather than just one type and shape of tooth. Most mammals are diphyodonts, meaning that they have two sets of teeth in their lifetime: deciduous or “baby” teeth, and permanent teeth. Other vertebrates are polyphyodonts, that is, their teeth are replaced throughout their entire life. Mammals, like birds, possess a four-chambered heart. Mammals also have a specialized group of cardiac fibers located in the walls of their right atrium called the sinoatrial node, or pacemaker, which determines the rate at which the heart beats. Mammalian erythrocytes (red blood cells) do not have nuclei, whereas the erythrocytes of other vertebrates are nucleated. The kidneys of mammals have a portion of the nephron called the loop of Henle or nephritic loop, which allows mammals to produce urine with a high concentration of solutes, higher than that of the blood. Mammals lack a renal portal system, which is a system of veins that moves blood from the hind or lower limbs and region of the tail to the kidneys. Renal portal systems are present in all other vertebrates except jawless fishes. A urinary bladder is present in all mammals. Mammalian brains have certain characteristics that differ from other vertebrates. In some, but not all mammals, the cerebral cortex, the outermost part of the cerebrum, is highly folded, allowing for a greater surface area than is possible with a smooth cortex. The optic lobes, located in the midbrain, are divided into two parts in mammals, whereas other vertebrates."
Most of the pathogens that cause stis enter the body through mucous membranes of which organs?,stomach,eyes,kidneys,reproductive organs,"Most of the pathogens that cause STIs enter the body through mucous membranes of the reproductive organs. All sexual behaviors that involve contact between mucous membranes put a person at risk for infection. This includes vaginal, anal, and oral sexual behaviors. Many STIs can also be transmitted through body fluids such as blood, semen, and breast milk. Therefore, behaviors such as sharing injection or tattoo needles is another way these STIs can spread."
The activation of what kind of buds induces branching?,arterial buds,lymphatic buds,leafy buds,axillary buds,
Sexual reproduction involves haploid gametes and produces a diploid zygote through what process?,sedimentation,infection,vivisection,fertilization,Sexual reproduction involves haploid gametes and produces a diploid zygote through fertilization.
"All alkanes are composed of carbon and hydrogen atoms, and have similar bonds, structures, and formulas; noncyclic alkanes all have a formula of cnh2n+2. the number of carbon atoms present in an alkane has what?",such limit,done limit,crippling limit,no limit,"All alkanes are composed of carbon and hydrogen atoms, and have similar bonds, structures, and formulas; noncyclic alkanes all have a formula of CnH2n+2. The number of carbon atoms present in an alkane has no limit. Greater numbers of atoms in the molecules will lead to stronger intermolecular attractions (dispersion forces) and correspondingly different physical properties of the molecules. Properties such as melting point and boiling point (Table 20.1) usually change smoothly and predictably as the number of carbon and hydrogen atoms in the molecules change. Properties of Some Alkanes[3] Alkane."
What percentage of men suffer from some form of erectile dysfunction by age 40?,approximately 80 percent,approximately 60 percent,approximately 10 percent,approximately 40 percent,"Male Reproductive System Erectile dysfunction (ED) is a condition in which a man has difficulty either initiating or maintaining an erection. The combined prevalence of minimal, moderate, and complete ED is approximately 40 percent in men at age 40, and reaches nearly 70 percent by 70 years of age. In addition to aging, ED is associated with diabetes, vascular disease, psychiatric disorders, prostate disorders, the use of some drugs such as certain antidepressants, and problems with the testes resulting in low testosterone concentrations. These physical and emotional conditions can lead to interruptions in the vasodilation pathway and result in an inability to achieve an erection. Recall that the release of NO induces relaxation of the smooth muscles that surround the penile arteries, leading to the vasodilation necessary to achieve an erection. To reverse the process of vasodilation, an enzyme called phosphodiesterase (PDE) degrades a key component of the NO signaling pathway called cGMP. There are several different forms of this enzyme, and PDE type 5 is the type of PDE found in the tissues of the penis. Scientists discovered that inhibiting PDE5 increases blood flow, and allows vasodilation of the penis to occur. PDEs and the vasodilation signaling pathway are found in the vasculature in other parts of the body. In the 1990s, clinical trials of a PDE5 inhibitor called sildenafil were initiated to treat hypertension and angina pectoris (chest pain caused by poor blood flow through the heart). The trial showed that the drug was not effective at treating heart conditions, but many men experienced erection and priapism (erection lasting longer than 4 hours). Because of this, a clinical trial was started to investigate the ability of sildenafil to promote erections in men suffering from ED. In 1998, the FDA approved the drug, marketed as Viagra®. Since approval of the drug, sildenafil and similar PDE inhibitors now generate over a billion dollars a year in sales, and are reported to be effective in treating approximately 70 to 85 percent of cases of ED. Importantly, men with health problems—especially those with cardiac disease taking nitrates—should avoid Viagra or talk to their physician to find out if they are a candidate for the use of this drug, as deaths have been reported for at-risk users."
What secures together immovable joints and prevents them from moving?,dense cartilage,light collagen,light cartilage,dense collagen,Immovable joints allow no movement because the bones at these joints are held securely together by dense collagen . The bones of the skull are connected by immovable joints.
Transform faults are the site of massive what?,tornadoes,vibrations,storms,earthquakes,Transform faults are the site of massive earthquakes.
"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",ice crushing,ice locking,ice inverting,ice wedging,Rocks can break apart into smaller pieces in many ways. Ice wedging is common where water goes above and below its freezing point ( Figure below ). This can happen in winter in the mid-latitudes or in colder climates in summer. Ice wedging is common in mountainous regions like the Sierra Nevada pictured above.
"The diatoms are unicellular photosynthetic protists that encase themselves in intricately patterned, glassy cell walls composed of silicon dioxide in a matrix of organic particles. these protists are a component of freshwater and these?",source plankton,waste plankton,land plankton,marine plankton,"The diatoms are unicellular photosynthetic protists that encase themselves in intricately patterned, glassy cell walls composed of silicon dioxide in a matrix of organic particles (Figure 23.18). These protists are a component of freshwater and marine plankton. Most species of diatoms reproduce asexually, although some instances of sexual reproduction and sporulation also exist. Some diatoms exhibit a slit in their silica shell, called a raphe. By expelling a stream of mucopolysaccharides from the raphe, the diatom can attach to surfaces or propel itself in one direction."
What type of reactions form compounds?,physical reactions,mineral reactions,consumption reactions,chemical reactions,"A compound is a unique substance that forms when two or more elements combine chemically. Compounds form as a result of chemical reactions. The elements in compounds are held together by chemical bonds. A chemical bond is a force of attraction between atoms or ions that share or transfer valence electrons. For a video introduction to compounds, go to this URL: http://www. youtube. com/watch?v=-HjMoTthEZ0 ."
"Millions of years ago, plants used energy from the sun to form what?",greenhouse gases,fossil fuels,evolution,carbon compounds,"Fossil fuels include coal, oil, and natural gas. Fossil fuels are the greatest energy source for modern society. Millions of years ago, plants used energy from the Sun to form carbon compounds. These compounds were later transformed into coal, oil, or natural gas. Fossil fuels take millions of years to form. For this reason, they are non-renewable. We will use most fossil fuels up in a matter of decades. Burning fossil fuels releases large amounts of pollution. The most important of these may be the greenhouse gas, carbon dioxide."
What is the term for the process in which living things with beneficial traits produce more offspring than others do?,natural variety,natural process,natural survival,natural selection,The other idea is that evolution occurs by natural selection. Natural selection is the process in which living things with beneficial traits produce more offspring than others do. This results in changes in the traits of living things over time.
